,,,,2020,2030,2040,2050
Electricity [TWh],Central Latin America,SSP5,baseline,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP5,optimistic,0,0,0,0.0
Electricity [TWh],East Asia,SSP1,pessimistic,0,0,0,0.0
Electricity [TWh],East Asia,SSP1,baseline,0,0,0,0.0
Electricity [TWh],East Asia,SSP1,optimistic,0,0,0,0.0
Electricity [TWh],East Asia,SSP2,pessimistic,0,0,0,0.0
Electricity [TWh],East Asia,SSP2,baseline,0,0,0,0.0
Electricity [TWh],East Asia,SSP2,optimistic,0,0,0,0.0
Electricity [TWh],East Asia,SSP3,pessimistic,0,0,0,0.0
Electricity [TWh],East Asia,SSP3,baseline,0,0,0,0.0
Electricity [TWh],East Asia,SSP3,optimistic,0,0,0,0.0
Electricity [TWh],East Asia,SSP4,pessimistic,0,0,0,0.0
Electricity [TWh],East Asia,SSP4,baseline,0,0,0,0.0
Electricity [TWh],East Asia,SSP4,optimistic,0,0,0,0.0
Electricity [TWh],East Asia,SSP5,pessimistic,0,0,0,0.0
Electricity [TWh],East Asia,SSP5,baseline,0,0,0,0.0
Electricity [TWh],East Asia,SSP5,optimistic,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP1,pessimistic,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP1,baseline,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP1,optimistic,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP2,pessimistic,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP2,baseline,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP2,optimistic,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP3,pessimistic,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP3,baseline,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP3,optimistic,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP4,pessimistic,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP4,baseline,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP4,optimistic,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP5,pessimistic,0,0,0,0.0
Electricity [TWh],North Africa and Middle East,SSP5,baseline,0,0,0,59.67341407866268
Electricity [TWh],North Africa and Middle East,SSP5,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP1,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP1,baseline,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP1,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP2,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP2,baseline,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP2,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP3,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP3,baseline,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP3,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP4,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP4,baseline,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP4,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP5,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP5,baseline,0,0,0,0.0
GHG [GtonCO2_eq],Central Europe,SSP5,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP1,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP1,baseline,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP1,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP2,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP2,baseline,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP2,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP3,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP3,baseline,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP3,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP4,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP4,baseline,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP4,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP5,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],Central Latin America,SSP5,baseline,0,0,0,0.0
